name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1000900,2000915,,1,15,1,1,1,1,15
,2,2000915,3000923,,1,8,1,1,1,1,8
,3,3000923,4000936,,1,13,1,1,1,1,13
,4,1000912,2000928,,1,16,1,1,1,1,16
,5,2000928,2000930,,1,2,1,1,1,1,2
,6,2000930,3000941,,1,11,1,1,1,1,11
,7,3000941,3000943,,1,2,1,1,1,1,2
,8,3000943,4000959,,1,16,1,1,1,1,16
,9,1000906,2000921,,1,15,1,1,1,1,15
,10,2000921,3000929,,1,8,1,1,1,1,8
,11,3000929,3000929,,1,0,1,1,1,1,0
,12,3000929,4000942,,1,13,1,1,1,1,13
,13,1000918,2000934,,1,16,1,1,1,1,16
,14,2000934,2000936,,1,2,1,1,1,1,2
,15,2000936,3000947,,1,11,1,1,1,1,11
,16,3000947,3000949,,1,2,1,1,1,1,2
,17,3000949,4001005,,1,16,1,1,1,1,16
