name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,1000900,2000915,,1,15,1,1,1,1,15
,2,2000915,3000923,,1,8,1,1,1,1,8
,3,3000923,4000936,,1,13,1,1,1,1,13
,4,4000900,3000916,,1,16,1,1,1,1,16
,5,3000916,3000916,,1,0,1,1,1,1,0
,6,3000916,3000945,,1,29,1,1,1,1,29
,7,3000945,2000956,,1,11,1,1,1,1,11
,8,2000956,2000959,,1,3,1,1,1,1,3
,9,2000959,1001015,,1,16,1,1,1,1,16
,10,1000918,2000933,,1,15,1,1,1,1,15
,11,2000933,3000941,,1,8,1,1,1,1,8
,12,3000941,3000941,,1,0,1,1,1,1,0
,13,3000941,4000954,,1,13,1,1,1,1,13
,14,4000959,3001015,,1,16,1,1,1,1,16
,15,3001015,3001019,,1,4,1,1,1,1,4
,16,3001019,2001030,,1,11,1,1,1,1,11
,17,2001030,2001034,,1,4,1,1,1,1,4
,18,2001034,1001050,,1,16,1,1,1,1,16
